timestamp,vehicle_id,packet_size,e2e_delay,service_time
23.388001828,10.0.0.2,1027,0.0000008996,0.0755304
23.5560017064,10.0.0.3,951,0.0000008388,0.0636393
23.574001908,10.0.0.2,1077,0.0000009396,0.198167
23.6740017784,10.0.0.3,996,0.0000008748,0.0046686
23.753001692,10.0.0.3,942,0.0000008316,0.0205229
23.8430019512,10.0.0.2,1104,0.0000009612,0.0876954
24.2530015336,10.0.0.2,843,0.0000007524,0.0650629
24.3710019496,10.0.0.2,1103,0.0000009604,0.0491505
24.434001988,10.0.0.3,1127,0.0000009796,0.287367
24.5300017928,10.0.0.2,1005,0.000000882,0.038278
24.5490019144,10.0.0.2,1081,0.0000009428,0.246517
24.6860015704,10.0.0.1,866,0.0000007708,0.0222565
24.8420017784,10.0.0.3,996,0.0000008748,0.120344
24.9100015544,10.0.0.2,856,0.0000007628,0.470757
24.9590017224,10.0.0.3,961,0.0000008468,0.21548
25.0380018456,10.0.0.1,1038,0.0000009084,0.0212501
25.2280015832,10.0.0.1,874,0.0000007772,0.0333189
25.2640018888,10.0.0.1,1065,0.00000093,0.216668
25.2940019368,10.0.0.1,1095,0.000000954,0.23367
25.3550017,10.0.0.3,947,0.0000008356,0.179935
25.4630014648,10.0.0.3,800,0.000000718,0.113705
25.4810016552,10.0.0.1,919,0.0000008132,0.0356058
25.7680019096,10.0.0.2,1078,0.0000009404,0.0338201
25.7770015608,10.0.0.1,860,0.000000766,0.503926
25.830002004,10.0.0.2,1137,0.0000009876,0.0393774
26.0400020248,10.0.0.3,1150,0.000000998,0.336476
26.160001828,10.0.0.3,1027,0.0000008996,0.0441038
26.2980020024,10.0.0.2,1136,0.0000009868,0.3675
26.4020015896,10.0.0.3,878,0.0000007804,0.0666403
26.54400158,10.0.0.2,872,0.0000007756,0.143899
26.5710018392,10.0.0.2,1034,0.0000009052,0.239995
26.7500018632,10.0.0.2,1049,0.0000009172,0.0813498
26.91600174,10.0.0.2,972,0.0000008556,0.417548
26.9590025764,10.0.0.3,952,0.0000008396,0.15935
27.0250015976,10.0.0.2,883,0.0000007844,0.116767
27.085002706,10.0.0.3,1006,0.0000008828,0.0201373
27.186001572,10.0.0.2,867,0.0000007716,0.0262135
27.2110027684,10.0.0.3,1032,0.0000009036,0.0510498
27.5470017544,10.0.0.1,981,0.0000008628,0.148208
27.5640028524,10.0.0.3,1067,0.0000009316,0.13807
27.6070022668,10.0.0.3,823,0.0000007364,0.020177
27.6380018904,10.0.0.1,1066,0.0000009308,0.410824
27.7530018088,10.0.0.1,1015,0.00000089,0.0688277
27.7610028908,10.0.0.3,1083,0.0000009444,0.00494
27.8610027948,10.0.0.3,1043,0.0000009124,0.12426
27.9010028188,10.0.0.3,1053,0.0000009204,0.224089
27.9120030564,10.0.0.3,1152,0.0000009996,0.0497252
27.9480017096,10.0.0.1,953,0.0000008404,0.180133
27.9650017784,10.0.0.1,996,0.0000008748,0.0604732
28.1740020136,10.0.0.2,1143,0.0000009924,0.0968082
28.2140030012,10.0.0.3,1129,0.0000009812,0.0808421
28.2710026172,10.0.0.3,969,0.0000008532,0.0758628
28.2990016472,10.0.0.2,914,0.0000008092,0.205146
28.4400017624,10.0.0.2,986,0.0000008668,0.161859
28.4600026316,10.0.0.3,975,0.000000858,0.00778129
28.5200026556,10.0.0.3,985,0.000000866,0.338063
28.6130027636,10.0.0.3,1030,0.000000902,0.119286
28.6320018024,10.0.0.1,1011,0.0000008868,0.155292
28.7020018344,10.0.0.1,1031,0.0000009028,0.0721894
29.0130018024,10.0.0.2,1011,0.0000008868,0.0490507
29.0380029292,10.0.0.3,1099,0.0000009572,0.120837
29.1650028332,10.0.0.3,1059,0.0000009252,0.148278
29.3460030252,10.0.0.3,1139,0.0000009892,0.0649712
29.3460037724,10.0.0.3,899,0.0000009604,0.215318
29.5460018344,10.0.0.2,1031,0.0000009028,0.130938
29.7320019912,10.0.0.2,1129,0.0000009812,0.150105
29.7950033444,10.0.0.3,1272,0.0000010956,0.264193
29.8710019144,10.0.0.1,1081,0.0000009428,0.0900104
29.8950021384,10.0.0.2,1221,0.0000010548,0.105015
29.901001948,10.0.0.1,1102,0.0000009596,0.0930207
30.0870021176,10.0.0.2,1208,0.0000010444,0.052723
30.1170027756,10.0.0.3,1035,0.000000906,0.212436
30.1760013544,10.0.0.1,731,0.0000006628,0.164272
30.2520018264,10.0.0.2,1026,0.0000008988,0.170918
30.2730017416,10.0.0.2,973,0.0000008564,0.0416826
30.3320021656,10.0.0.2,1238,0.0000010684,0.0555152
30.6510019832,10.0.0.1,1124,0.0000009772,0.0320104
30.6680018104,10.0.0.1,1016,0.0000008908,0.262296
30.6770020712,10.0.0.1,1179,0.0000010212,0.0955805
30.744002718,10.0.0.3,1011,0.0000008868,0.290284
30.8990021304,10.0.0.1,1216,0.0000010508,0.633678
30.91700166,10.0.0.2,922,0.0000008156,0.397342
30.9190029772,10.0.0.3,1119,0.0000009732,0.32584
30.9840018616,10.0.0.1,1048,0.0000009164,0.0546916
31.5030015368,10.0.0.2,845,0.000000754,0.260374
31.529002874,10.0.0.3,1076,0.0000009388,0.00976908
31.6410015944,10.0.0.1,881,0.0000007828,0.091889
31.6730028236,10.0.0.2,1055,0.000000922,0.0124955
31.6800026964,10.0.0.2,1002,0.0000008796,0.424219
31.7650028764,10.0.0.2,1077,0.0000009396,0.0347123
31.7910027924,10.0.0.2,1042,0.0000009116,0.0167426
31.927002838,10.0.0.2,1061,0.0000009268,0.187176
32.0350025812,10.0.0.3,954,0.0000008412,0.255478
32.051003042,10.0.0.3,1146,0.0000009948,0.0796097
32.0670017048,10.0.0.1,950,0.000000838,0.122033
32.2940029388,10.0.0.2,1103,0.0000009604,0.0703163
32.4910023076,10.0.0.2,840,0.00000075,0.242765
32.6230030852,10.0.0.3,1164,0.0000010092,0.179134
32.6340027396,10.0.0.3,1020,0.000000894,0.174741
32.6670026964,10.0.0.3,1002,0.0000008796,0.0478343
32.7520017896,10.0.0.1,1003,0.0000008804,0.190343
32.8260016296,10.0.0.1,903,0.0000008004,0.126581
32.8280022932,10.0.0.3,834,0.0000007452,0.62449
32.9230026268,10.0.0.3,973,0.0000008564,0.111553
33.10000279,10.0.0.3,1041,0.0000009108,0.047309
33.1070023196,10.0.0.2,845,0.000000754,0.127169
33.24900279,10.0.0.2,1041,0.0000009108,0.0587838
33.3760020264,10.0.0.1,1151,0.0000009988,0.00577088
33.3900028332,10.0.0.3,1059,0.0000009252,0.0563562
33.5890018408,10.0.0.1,1035,0.000000906,0.205084
33.6430029052,10.0.0.2,1089,0.0000009492,0.127305
33.732001796,10.0.0.1,1007,0.0000008836,0.237584
33.7920027972,10.0.0.2,1044,0.0000009132,0.0134409
33.9940026628,10.0.0.2,988,0.0000008684,0.0359856
34.0330027924,10.0.0.3,1042,0.0000009116,0.295429
34.0860021032,10.0.0.1,1199,0.0000010372,0.000715339
34.2080025476,10.0.0.3,940,0.00000083,0.0173772
34.237002886,10.0.0.3,1081,0.0000009428,0.0342649
34.5440019288,10.0.0.1,1090,0.00000095,0.0380403
34.6490018168,10.0.0.1,1020,0.000000894,0.0059021
34.7130029796,10.0.0.2,1120,0.000000974,0.23175
34.7370031092,10.0.0.3,1174,0.0000010172,0.161884
34.8360016664,10.0.0.1,926,0.0000008188,0.0236262
34.8640027372,10.0.0.2,1019,0.0000008932,0.144403
35.0060025524,10.0.0.3,942,0.0000008316,0.423907
35.01600249,10.0.0.2,916,0.0000008108,0.240862
35.0410030876,10.0.0.3,1165,0.00000101,0.178904
35.04500273,10.0.0.2,1016,0.0000008908,0.0866168
35.2200018588,10.0.0.2,653,0.0000006004,0.110741
35.513001796,10.0.0.1,1007,0.0000008836,0.0872668
35.7260025644,10.0.0.1,947,0.0000008356,0.0242226
35.7670028284,10.0.0.1,1057,0.0000009236,0.0707022
36.21600243,10.0.0.3,891,0.0000007908,0.112293
36.3340023148,10.0.0.3,843,0.0000007524,0.0298901
36.37700303,10.0.0.3,1141,0.0000009908,0.096897
36.48800249,10.0.0.3,916,0.0000008108,0.28564
36.5130028212,10.0.0.1,1054,0.0000009212,0.164418
36.6460026412,10.0.0.3,979,0.0000008612,0.232865
37.1540030228,10.0.0.1,1138,0.0000009884,0.0410672
37.1570032724,10.0.0.2,1242,0.0000010716,0.0547336
37.2660026748,10.0.0.1,993,0.0000008724,0.268311
37.6680026148,10.0.0.1,968,0.0000008524,0.186772
37.7730030252,10.0.0.2,1139,0.0000009892,0.000384193
37.7870025332,10.0.0.2,934,0.0000008252,0.430265
37.9140026484,10.0.0.2,982,0.0000008636,0.0236809
37.9810024516,10.0.0.3,900,0.000000798,0.254484
38.1320030156,10.0.0.2,1135,0.000000986,0.259558
38.3990029244,10.0.0.3,1097,0.0000009556,0.0698923
38.48500279,10.0.0.3,1041,0.0000009108,0.0474234
38.528002334,10.0.0.2,851,0.0000007588,0.0505953
38.582002778,10.0.0.3,1036,0.0000009068,0.148816
38.66600285,10.0.0.2,1066,0.0000009308,0.00387109
38.9160030036,10.0.0.1,1130,0.000000982,0.0115951
38.9210024588,10.0.0.3,903,0.0000008004,0.159636
38.9390027132,10.0.0.1,1009,0.0000008852,0.185457
38.9830030084,10.0.0.3,1132,0.0000009836,0.057688
39.0940028956,10.0.0.1,1085,0.000000946,0.0961613
39.2420025092,10.0.0.2,924,0.0000008172,0.00584975
39.317002466,10.0.0.2,906,0.0000008028,5.4511e-05
39.6500025236,10.0.0.2,930,0.000000822,0.419294
39.7610029316,10.0.0.2,1100,0.000000958,0.033974
39.7920025908,10.0.0.1,958,0.0000008444,0.0160648
39.8290027012,10.0.0.1,1004,0.0000008812,0.155773
39.9270022884,10.0.0.2,832,0.0000007436,0.0361431
39.9370031404,10.0.0.3,1187,0.0000010276,0.08427
40.0140025212,10.0.0.2,929,0.0000008212,0.10431
40.1370024204,10.0.0.2,887,0.0000007876,0.0992928
40.228002514,10.0.0.1,926,0.0000008188,0.203054
40.3770033156,10.0.0.1,1260,0.000001086,0.108941
40.427002994,10.0.0.1,1126,0.0000009788,0.30372
40.437002814,10.0.0.3,1051,0.0000009188,0.502696
40.6130024132,10.0.0.1,884,0.0000007852,0.0350816
40.6140027732,10.0.0.2,1034,0.0000009052,0.249176
41.0070029364,10.0.0.2,1102,0.0000009596,0.0203311
41.0850028692,10.0.0.3,1074,0.0000009372,0.455442
41.263003042,10.0.0.1,1146,0.0000009948,0.511111
41.295003078,10.0.0.1,1161,0.0000010068,0.318127
41.3750022716,10.0.0.1,825,0.000000738,0.206656
41.4760028428,10.0.0.1,1063,0.0000009284,0.022662
41.5010023388,10.0.0.2,853,0.0000007604,0.136155
41.5330026436,10.0.0.2,980,0.000000862,0.0764046
41.6380028524,10.0.0.2,1067,0.0000009316,0.0187758
41.640002262,10.0.0.3,821,0.0000007348,0.254481
41.6920023964,10.0.0.3,877,0.0000007796,0.125422
41.7290028812,10.0.0.2,1079,0.0000009412,0.0203693
41.7860028596,10.0.0.1,1070,0.000000934,0.150241
41.812002646,10.0.0.2,981,0.0000008628,0.04866
41.8560031092,10.0.0.3,1174,0.0000010172,0.0980194
42.0150030084,10.0.0.2,1132,0.0000009836,0.041578
42.0900026268,10.0.0.2,973,0.0000008564,0.208909
42.1150032148,10.0.0.2,1218,0.0000010524,0.177124
42.335002634,10.0.0.2,976,0.0000008588,0.0119049
42.39900279,10.0.0.3,1041,0.0000009108,0.165759
42.6200025524,10.0.0.1,942,0.0000008316,0.0502063
42.6390026148,10.0.0.3,968,0.0000008524,0.168335
42.6500027972,10.0.0.1,1044,0.0000009132,0.020123
42.747002958,10.0.0.3,1111,0.0000009668,0.0832705
42.7760029028,10.0.0.3,1088,0.0000009484,0.0655001
42.9580031764,10.0.0.1,1202,0.0000010396,0.0827066
43.011002418,10.0.0.1,886,0.0000007868,0.101843
43.0800026748,10.0.0.1,993,0.0000008724,0.0398577
43.1260025284,10.0.0.2,932,0.0000008236,0.044682
43.4090025524,10.0.0.2,942,0.0000008316,0.226194
43.409003694,10.0.0.2,1080,0.000000942,0.00706848
43.447002742,10.0.0.2,1021,0.0000008948,0.0224615
43.4480029076,10.0.0.3,1090,0.00000095,0.0590889
43.6100025884,10.0.0.2,957,0.0000008436,0.0217528
43.7520027684,10.0.0.2,1032,0.0000009036,0.0315443
43.832002874,10.0.0.2,1076,0.0000009388,0.296974
43.9040027492,10.0.0.2,1024,0.0000008972,0.237931
44.0960024852,10.0.0.2,914,0.0000008092,0.173586
44.1450024996,10.0.0.3,920,0.000000814,0.303681
44.1480027516,10.0.0.2,1025,0.000000898,0.266984
